4.1	numer nip	Suma z ilość			
	254-14-00-156	27505			
	847-48-41-699	26955			
	392-78-93-552	26451			
4.2	ile przychodzu	643267,07			
	lata	 ile zarobili			
	2005	54032			
	2006	55813,3			
	2007	66294,8			
	2008	78524,45			
	2009	65527,32			
	2010	68294,1			
	2011	52311,6			
	2012	60696			
	2013	63090,18			
	2014	78683,32			
4.3	rok	Suma z ilość			
	2005	27016			
	2006	27226			
	2007	31720			
	2008	36523			
	2009	30764			
	2010	32521			
	2011	23778			
	2012	26976			
	2013	28419			
	2014	35284			
4.4	38126,35				
4.5	rok	ile cókró sprzedano	ile cókró po sprzedarzy	ile cókru zamówiono	ile cókru po domuwieniu
	2005;1	1841	3159	2000	5159
	2005;2	2710	2449	3000	5449
	2005;3	2509	2940	3000	5940
	2005;4	2098	3842	2000	5842
	2005;5	2323	3519	2000	5519
	2005;6	2006	3513	2000	5513
	2005;7	2545	2968	3000	5968
	2005;8	2058	3910	2000	5910
	2005;9	3495	2415	3000	5415
	2005;10	1985	3430	2000	5430
	2005;11	2136	3294	2000	5294
	2005;12	1310	3984	2000	5984
	2006;1	1279	4705	1000	5705
	2006;2	3045	2660	3000	5660
	2006;3	1031	4629	1000	5629
	2006;4	2464	3165	2000	5165
	2006;5	2988	2177	3000	5177
	2006;6	1031	4146	1000	5146
	2006;7	3319	1827	4000	5827
	2006;8	2774	3053	2000	5053
	2006;9	2764	2289	3000	5289
	2006;10	2416	2873	3000	5873
	2006;11	1917	3956	2000	5956
	2006;12	2198	3758	2000	5758
	2007;1	2010	3748	2000	5748
	2007;2	2273	3475	2000	5475
	2007;3	2815	2660	3000	5660
	2007;4	2572	3088	2000	5088
	2007;5	2776	2312	3000	5312
	2007;6	1163	4149	1000	5149
	2007;7	2472	2677	3000	5677
	2007;8	3138	2539	3000	5539
	2007;9	4586	953	5000	5953
	2007;10	2590	3363	2000	5363
	2007;11	1654	3709	2000	5709
	2007;12	3671	2038	3000	5038
	2008;1	2043	2995	3000	5995
	2008;2	3369	2626	3000	5626
	2008;3	4571	1055	4000	5055
	2008;4	3728	1327	4000	5327
	2008;5	3696	1631	4000	5631
	2008;6	1671	3960	2000	5960
	2008;7	2491	3469	2000	5469
	2008;8	2463	3006	2000	5006
	2008;9	3266	1740	4000	5740
	2008;10	3704	2036	3000	5036
	2008;11	2537	2499	3000	5499
	2008;12	2984	2515	3000	5515
	2009;1	1399	4116	1000	5116
	2009;2	4149	967	5000	5967
	2009;3	2618	3349	2000	5349
	2009;4	1468	3881	2000	5881
	2009;5	2372	3509	2000	5509
	2009;6	2334	3175	2000	5175
	2009;7	2372	2803	3000	5803
	2009;8	2742	3061	2000	5061
	2009;9	2504	2557	3000	5557
	2009;10	1454	4103	1000	5103
	2009;11	4150	953	5000	5953
	2009;12	3202	2751	3000	5751
	2010;1	3810	1941	4000	5941
	2010;2	3854	2087	3000	5087
	2010;3	2274	2813	3000	5813
	2010;4	2995	2818	3000	5818
	2010;5	2684	3134	2000	5134
	2010;6	3244	1890	4000	5890
	2010;7	2076	3814	2000	5814
	2010;8	781	5033	0	5033
	2010;9	2930	2103	3000	5103
	2010;10	3854	1249	4000	5249
	2010;11	1933	3316	2000	5316
	2010;12	2086	3230	2000	5230
	2011;1	2759	2471	3000	5471
	2011;2	1209	4262	1000	5262
	2011;3	1947	3315	2000	5315
	2011;4	2206	3109	2000	5109
	2011;5	2466	2643	3000	5643
	2011;6	2317	3326	2000	5326
	2011;7	2468	2858	3000	5858
	2011;8	1937	3921	2000	5921
	2011;9	1893	4028	1000	5028
	2011;10	1858	3170	2000	5170
	2011;11	947	4223	1000	5223
	2011;12	1771	3452	2000	5452
	2012;1	2642	2810	3000	5810
	2012;2	2686	3124	2000	5124
	2012;3	2895	2229	3000	5229
	2012;4	1937	3292	2000	5292
	2012;5	2463	2829	3000	5829
	2012;6	2003	3826	2000	5826
	2012;7	2217	3609	2000	5609
	2012;8	2981	2628	3000	5628
	2012;9	2204	3424	2000	5424
	2012;10	982	4442	1000	5442
	2012;11	1901	3541	2000	5541
	2012;12	2065	3476	2000	5476
	2013;1	2327	3149	2000	5149
	2013;2	2947	2202	3000	5202
	2013;3	1684	3518	2000	5518
	2013;4	2997	2521	3000	5521
	2013;5	3554	1967	4000	5967
	2013;6	1919	4048	1000	5048
	2013;7	2882	2166	3000	5166
	2013;8	2309	2857	3000	5857
	2013;9	1353	4504	1000	5504
	2013;10	2464	3040	2000	5040
	2013;11	1861	3179	2000	5179
	2013;12	2122	3057	2000	5057
	2014;1	2530	2527	3000	5527
	2014;2	2482	3045	2000	5045
	2014;3	1644	3401	2000	5401
	2014;4	3207	2194	3000	5194
	2014;5	3562	1632	4000	5632
	2014;6	1701	3931	2000	5931
	2014;7	3297	2634	3000	5634
	2014;8	3395	2239	3000	5239
	2014;9	2681	2558	3000	5558
	2014;10	3029	2529	3000	5529
	2014;11	3101	2428	3000	5428
	2014;12	4655	773	5000	5773
	ile razy dokonywała kupna cókru >=4000	14			
